date,price,volume
2018-07-01,20,54
2018-07-02,22,60
2018-07-03,23,67
2018-07-04,24,53
2018-07-05,23,55
2018-07-06,25,22
2018-07-07,26,44
2018-07-08,24,33
2018-07-09,21,42
2018-07-10,25,66
2018-07-11,26,32
2018-07-12,28,23
2018-07-13,30,44
2018-07-14,31,45
2018-07-15,32,33
2018-07-16,32,63
2018-07-17,33,62
2018-07-18,32,44
2018-07-19,33,54
2018-07-20,30,34
2018-07-21,29,74
2018-07-22,33,23
2018-07-23,37,85
2018-07-24,33,45
2018-07-25,34,65
2018-07-26,32,44
2018-07-27,30,32
2018-07-28,33,67
2018-07-29,35,55
2018-07-30,37,75
2018-07-31,35,80